Code,Depth,,2000-1700,1700-1400,1400-1000,1000-710,710-500,500-355,355-250,250-180,180-125,125-90,90-63,63-20,20-10,10-2,< 2
MUK 2018/1030 10-194,40-60  cm,19-137,<1,<1,<1,<1,<1,3,14,19,21,19,12,4,1,1,6
MUK 2018/1030 10-191,100-120  cm,19-138,<1,<1,<1,<1,<1,4,14,18,20,18,12,5,<1,1,8
MUK 2018/1030 10-158,160-180  cm,19-139,<1,<1,<1,<1,<1,3,13,18,21,19,12,4,1,<1,9
MUK 2018/1030 10-155,220-240  cm,19-140,<1,<1,<1,<1,<1,4,14,18,20,18,11,4,1,1,9
MUK 2018/1030 10-152,280-300  cm,19-141,<1,<1,<1,<1,<1,3,12,18,21,19,12,5,<1,1,9
MUK 2018/1030 10-149,340-360  cm,19-142,<1,<1,<1,<1,<1,4,14,19,20,18,10,4,<1,1,10
MUK 2018/1030 10-162,400-420  cm,19-143,<1,<1,<1,<1,<1,4,14,18,20,18,10,5,<1,1,10
MUK 2018/1030 10-180,460-480  cm,19-144,<1,<1,<1,<1,<1,4,14,18,21,17,10,5,1,2,8
MUK 2018/1030 10-168,520-540  cm,19-145,<1,<1,<1,<1,<1,3,12,17,21,19,11,6,1,2,8
MUK 2018/1030 10-186,580-600  cm,19-146,<1,<1,<1,<1,<1,3,12,17,21,19,11,5,<1,1,11
MUK 2018/1030 10-174,640-660  cm,19-147,<1,<1,<1,<1,<1,3,12,17,21,19,11,5,<1,1,11
