"LABNR","C14AGE","C14STD","D13C","EXCAVATION","SQUARE","DEPTH","YEAR"
"RICH-26653",12329,41,-27.4,"MUK2018","1a","320",2018
"RICH-26654",3347,25,-28.14,"MUK2018","1b","160",2018
"RICH-26655",587,22,-26.98,"MUK2018","3c","60",2018
"RICH-26656",1992,23,-29.46,"MUK2018","2a","80",2018
"RICH-26657",4501,26,-26.69,"MUK2018","1c","180",2018
"RICH-26658",367,22,-25.48,"MUK2018","2c","60",2018
"RICH-27374",10098,33,-26.77,"MUK2018","1d","300",2018
"RICH-27379",12268,37,-24.95,"MUK2018","1b","360",2018
"RICH-27380",2176,25,-23.83,"MUK2018","1b","100",2018
"RICH-27381",3430,26,-22.91,"MUK2018","2b","80",2018
"RICH-27410",3311,26,-23.01,"MUK2018","1c","120",2018
"RICH-30594",4581,34,-21.3,"MUK1952","F-J","144",1952
"RICH-30595",32724,339,-24.8,"MUK1952","M","445",1952
"RICH-30596",10103,59,NA,"MUK2018","1a","240",2018
"RICH-33107",413,24,-25.5,"MUK1952","J","66",1952
"RICH-33715",37203,653,-26.4,"MUK2018","1b","660",2018
